%SAFE,%PRETTY,URL
.tv.hell-s-kitchen,Hell's Kitchen,www.2bhip.com/category/tv.hell-s-kitchen/
.tv.heroes,Heroes,www.2bhip.com/category/tv.heroes/
.tv.hoarders,Hoarders,www.2bhip.com/category/tv.hoarders/
.tv.hogan-s-heroes,Hogan's Heroes,www.2bhip.com/category/tv.hogan-s-heroes/
.tv.homeland,Homeland,www.2bhip.com/category/tv.homeland/
.tv.house-m-d-,House M.D.,www.2bhip.com/category/tv.house-m-d-/
.tv.how-i-met-your-mother,How I Met Your Mother,www.2bhip.com/category/tv.how-i-met-your-mother/
.tv.howdy-doody,Howdy Doody,www.2bhip.com/category/tv.howdy-doody/
.tv.i-dream-of-jeannie,I Dream Of Jeannie,www.2bhip.com/category/tv.i-dream-of-jeannie/
.tv.ice-road-truckers,Ice Road Truckers,www.2bhip.com/category/tv.ice-road-truckers/
.tv.it-s-always-sunny-in-philadelphia,It's Always Sunny in Philadelphia,www.2bhip.com/category/tv.it-s-always-sunny-in-philadelphia/
.tv.jeff-dunham-show--the,"Jeff Dunham Show, The",www.2bhip.com/category/tv.jeff-dunham-show--the/
.tv.jericho,Jericho,www.2bhip.com/category/tv.jericho/
.tv.jerry-springer-show--the,"Jerry Springer Show, The",www.2bhip.com/category/tv.jerry-springer-show--the/
.tv.jersey-shore,Jersey Shore,www.2bhip.com/category/tv.jersey-shore/
.tv.king-of-the-hill,King of the Hill,www.2bhip.com/category/tv.king-of-the-hill/
.tv.knight-rider,Knight Rider,www.2bhip.com/category/tv.knight-rider/
.tv.law-and-order,Law & Order,www.2bhip.com/category/tv.law-and-order/
.tv.leave-it-to-beaver,Leave It To Beaver,www.2bhip.com/category/tv.leave-it-to-beaver/
.tv.little-rascals--the,"Little Rascals, The",www.2bhip.com/category/tv.little-rascals--the/
.tv.looney-tunes,Looney Tunes,www.2bhip.com/category/tv.looney-tunes/
.tv.love-boat--the,"Love Boat, The",www.2bhip.com/category/tv.love-boat--the/
.tv.magnum--p-i-,"Magnum, P.I.",www.2bhip.com/category/tv.magnum--p-i-/
.tv.manhunters,Manhunters,www.2bhip.com/category/tv.manhunters/
.tv.married-with-children,Married With Children,www.2bhip.com/category/tv.married-with-children/
.tv.mash,MASH,www.2bhip.com/category/tv.mash/
.tv.miami-vice,Miami Vice,www.2bhip.com/category/tv.miami-vice/
.tv.mod-squad--the,"Mod Squad, The",www.2bhip.com/category/tv.mod-squad--the/
.tv.modern-family,Modern Family,www.2bhip.com/category/tv.modern-family/
.tv.modern-marvels,Modern Marvels,www.2bhip.com/category/tv.modern-marvels/
.tv.monk,Monk,www.2bhip.com/category/tv.monk/
.tv.monty-python,Monty Python,www.2bhip.com/category/tv.monty-python/
.tv.more-cowbell,More Cowbell,www.2bhip.com/category/tv.more-cowbell/
.tv.mork-and-mindy,Mork & Mindy,www.2bhip.com/category/tv.mork-and-mindy/
.tv.mr--bean,Mr. Bean,www.2bhip.com/category/tv.mr--bean/
.tv.mr--rogers,Mr. Rogers,www.2bhip.com/category/tv.mr--rogers/
.tv.mtv,MTV,www.2bhip.com/category/tv.mtv/
.tv.munsters--the,"Munsters, The",www.2bhip.com/category/tv.munsters--the/
.tv.muppets--the,"Muppets, The",www.2bhip.com/category/tv.muppets--the/
.tv.my-three-sons,My Three Sons,www.2bhip.com/category/tv.my-three-sons/
.tv.ncis,NCIS,www.2bhip.com/category/tv.ncis/
.tv.office--the,"Office, The",www.2bhip.com/category/tv.office--the/
.tv.outer-limits--the,"Outer Limits, The",www.2bhip.com/category/tv.outer-limits--the/
.tv.paranormal-state,Paranormal State,www.2bhip.com/category/tv.paranormal-state/
.tv.parking-wars,Parking Wars,www.2bhip.com/category/tv.parking-wars/
.tv.parks-and-recreation,Parks & Recreation,www.2bhip.com/category/tv.parks-and-recreation/
.tv.pawn-stars,Pawn Stars,www.2bhip.com/category/tv.pawn-stars/
.tv.power-rangers,Power Rangers,www.2bhip.com/category/tv.power-rangers/
.tv.psych,Psych,www.2bhip.com/category/tv.psych/
.tv.quantum-leap,Quantum Leap,www.2bhip.com/category/tv.quantum-leap/
.tv.sanford-and-son,Sanford and Son,www.2bhip.com/category/tv.sanford-and-son/
.tv.saturday-night-live,Saturday Night Live,www.2bhip.com/category/tv.saturday-night-live/
.tv.saved-by-the-bell,Saved by the Bell,www.2bhip.com/category/tv.saved-by-the-bell/
.tv.seinfeld,Seinfeld,www.2bhip.com/category/tv.seinfeld/
.tv.shameless,Shameless,www.2bhip.com/category/tv.shameless/
.tv.shark-tank,Shark Tank,www.2bhip.com/category/tv.shark-tank/
.tv.simpsons,Simpsons,www.2bhip.com/category/tv.simpsons/
